"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-4650.blockOrder";"session.node-4650.IATorder";"session.node-4650.keyOrder";"session.node-9273.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo4.durationTime";"trial.GoNoGo4.endTime";"trial.GoNoGo4.Error Type";"trial.GoNoGo4.icon";"trial.GoNoGo4.location";"trial.GoNoGo4.outcome";"trial.GoNoGo4.response";"trial.GoNoGo4.result";"trial.GoNoGo4.RT";"trial.GoNoGo4.signal";"trial.GoNoGo4.startTime";"trial.GoNoGo4.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime";"trial.IAT_block1.durationTime";"trial.IAT_block1.endTime";"trial.IAT_block1.outcome";"trial.IAT_block1.response";"trial.IAT_block1.result";"trial.IAT_block1.RT";"trial.IAT_block1.startTime";"trial.IAT_block1.Stimfile";"trial.IAT_block1.stimType";"trial.IAT_block1.word";"trial.IAT_block2.durationTime";"trial.IAT_block2.endTime";"trial.IAT_block2.outcome";"trial.IAT_block2.response";"trial.IAT_block2.result";"trial.IAT_block2.RT";"trial.IAT_block2.startTime";"trial.IAT_block2.Stimfile";"trial.IAT_block2.stimType";"trial.IAT_block2.word";"trial.IAT_block3.durationTime";"trial.IAT_block3.endTime";"trial.IAT_block3.outcome";"trial.IAT_block3.response";"trial.IAT_block3.result";"trial.IAT_block3.RT";"trial.IAT_block3.startTime";"trial.IAT_block3.Stimfile";"trial.IAT_block3.stimType";"trial.IAT_block3.word";"trial.IAT_Practice1.durationTime";"trial.IAT_Practice1.endTime";"trial.IAT_Practice1.outcome";"trial.IAT_Practice1.response";"trial.IAT_Practice1.result";"trial.IAT_Practice1.RT";"trial.IAT_Practice1.startTime";"trial.IAT_Practice1.Stimfile";"trial.IAT_Practice1.stimType";"trial.IAT_Practice1.word";"trial.IAT_practice2.durationTime";"trial.IAT_practice2.endTime";"trial.IAT_practice2.outcome";"trial.IAT_practice2.response";"trial.IAT_practice2.result";"trial.IAT_practice2.RT";"trial.IAT_practice2.startTime";"trial.IAT_practice2.Stimfile";"trial.IAT_practice2.stimType";"trial.IAT_practice2.word"
"jackarnold";"1992";;"Windows XP";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 13:41:56.640";"2014-07-21 14:27:31.802";"1";"1";"0";"1";"1";"14";"13";"module.GoNoGopractice.exec-8848.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1950";"2014-07-21 13:43:15.606";"3";"1";"FINISHED";"RIGHT";"success";"765";"0";"2014-07-21 13:43:13.653";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"jackarnold";"1992";;"Windows XP";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 13:41:56.640";"2014-07-21 14:27:31.802";"1";"1";"0";"1";"1";"15";"14";"module.GoNoGopractice.exec-8848.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1949";"2014-07-21 13:43:18.841";"27";"1";"FINISHED";"NONE";"success";"0";"1";"2014-07-21 13:43:16.888";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"jackarnold";"1992";;"Windows XP";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 13:41:56.640";"2014-07-21 14:27:31.802";"1";"1";"0";"1";"1";"16";"15";"module.training_block1.exec-5483.GoNoGo1";"1249";"2014-07-21 13:43:29.606";"NST_correctLoc";"10";"1";"FINISHED";"RIGHT";"success";"603";"0";"2014-07-21 13:43:28.356";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"jackarnold";"1992";;"Windows XP";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 13:41:56.640";"2014-07-21 14:27:31.802";"1";"1";"0";"1";"1";"17";"16";"module.training_block1.exec-5483.GoNoGo1";"1249";"2014-07-21 13:43:32.122";"NST_correctLoc";"18";"0";"FINISHED";"LEFT";"success";"495";"0";"2014-07-21 13:43:30.872";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"jackarnold";"1992";;"Windows XP";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 13:41:56.640";"2014-07-21 14:27:31.802";"1";"1";"0";"1";"1";"18";"17";"module.training_block1.exec-5483.GoNoGo1";"1249";"2014-07-21 13:43:34.653";"ST_correctStop";"25";"0";"FINISHED";"NONE";"success";"0";"1";"2014-07-21 13:43:33.403";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"jackarnold";"1992";;"Windows XP";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 13:41:56.640";"2014-07-21 14:27:31.802";"1";"1";"0";"1";"1";"19";"18";"module.training_block1.exec-5483.GoNoGo1";"1249";"2014-07-21 13:43:37.168";"ST_correctStop";"2";"0";"FINISHED";"NONE";"success";"0";"1";"2014-07-21 13:43:35.918";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"jackarnold";"1992";;"Windows XP";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 13:41:56.640";"2014-07-21 14:27:31.802";"1";"1";"0";"1";"1";"20";"19";"module.training_block1.exec-5483.GoNoGo1";"1255";"2014-07-21 13:43:39.715";"ST_correctStop";"8";"1";"FINISHED";"NONE";"success";"0";"1";"2014-07-21 13:43:38.450";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"jackarnold";"1992";;"Windows XP";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 13:41:56.640";"2014-07-21 14:27:31.802";"1";"1";"0";"1";"1";"21";"20";"module.training_block1.exec-5483.GoNoGo1";"1249";"2014-07-21 13:43:42.231";"NST_correctLoc";"9";"1";"FINISHED";"RIGHT";"success";"513";"0";"2014-07-21 13:43:40.981";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"jackarnold";"1992";;"Windows XP";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 13:41:56.640";"2014-07-21 14:27:31.802";"1";"1";"0";"1";"1";"22";"21";"module.training_block1.exec-5483.GoNoGo1";"1249";"2014-07-21 13:43:44.762";"ST_correctStop";"28";"1";"FINISHED";"NONE";"success";"0";"1";"2014-07-21 13:43:43.512";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"jackarnold";"1992";;"Windows XP";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 13:41:56.640";"2014-07-21 14:27:31.802";"1";"1";"0";"1";"1";"23";"22";"module.training_block1.exec-5483.GoNoGo1";"1249";"2014-07-21 13:43:47.277";"NST_correctLoc";"17";"0";"FINISHED";"LEFT";"success";"743";"0";"2014-07-21 13:43:46.027";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"jackarnold";"1992";;"Windows XP";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 13:41:56.640";"2014-07-21 14:27:31.802";"1";"1";"0";"1";"1";"24";"23";"module.training_block1.exec-5483.GoNoGo1";"1249";"2014-07-21 13:43:49.809";"ST_correctStop";"35";"1";"FINISHED";"NONE";"success";"0";"1";"2014-07-21 13:43:48.559";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"jackarnold";"1992";;"Windows XP";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 13:41:56.640";"2014-07-21 14:27:31.802";"1";"1";"0";"1";"1";"25";"24";"module.training_block1.exec-5483.GoNoGo1";"1249";"2014-07-21 13:43:52.340";"ST_correctStop";"0";"1";"FINISHED";"NONE";"success";"0";"1";"2014-07-21 13:43:51.090";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"jackarnold";"1992";;"Windows XP";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 13:41:56.640";"2014-07-21 14:27:31.802";"1";"1";"0";"1";"1";"26";"25";"module.training_block1.exec-5483.GoNoGo1";"1249";"2014-07-21 13:43:54.855";"ST_correctStop";"5";"0";"FINISHED";"NONE";"success";"0";"1";"2014-07-21 13:43:53.605";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"jackarnold";"1992";;"Windows XP";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 13:41:56.640";"2014-07-21 14:27:31.802";"1";"1";"0";"1";"1";"27";"26";"module.training_block1.exec-5483.GoNoGo1";"1249";"2014-07-21 13:43:57.387";"NST_correctLoc";"31";"1";"FINISHED";"RIGHT";"success";"419";"0";"2014-07-21 13:43:56.137";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"jackarnold";"1992";;"Windows XP";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 13:41:56.640";"2014-07-21 14:27:31.802";"1";"1";"0";"1";"1";"28";"27";"module.training_block1.exec-5483.GoNoGo1";"1249";"2014-07-21 13:43:59.902";"ST_correctStop";"22";"0";"FINISHED";"NONE";"success";"0";"1";"2014-07-21 13:43:58.652";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"jackarnold";"1992";;"Windows XP";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 13:41:56.640";"2014-07-21 14:27:31.802";"1";"1";"0";"1";"1";"29";"28";"module.training_block1.exec-5483.GoNoGo1";"1249";"2014-07-21 13:44:02.433";"NST_correctLoc";"29";"1";"FINISHED";"RIGHT";"success";"464";"0";"2014-07-21 13:44:01.183";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"jackarnold";"1992";;"Windows XP";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 13:41:56.640";"2014-07-21 14:27:31.802";"1";"1";"0";"1";"1";"30";"29";"module.training_block1.exec-5483.GoNoGo1";"1249";"2014-07-21 13:44:04.949";"ST_correctStop";"7";"1";"FINISHED";"NONE";"success";"0";"1";"2014-07-21 13:44:03.699";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
