"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-1623.DPorder";"session.node-1805.DPorder";"session.node-2686.conditionType";"session.node-8996.conditionType";"trial.id";"trial.index";"trial.name";"module.GoNoGopractice.exec-3778.GoNoGo_Practice.durationTime";"module.GoNoGopractice.exec-3778.GoNoGo_Practice.endTime";"module.GoNoGopractice.exec-3778.GoNoGo_Practice.icon";"module.GoNoGopractice.exec-3778.GoNoGo_Practice.location";"module.GoNoGopractice.exec-3778.GoNoGo_Practice.outcome";"module.GoNoGopractice.exec-3778.GoNoGo_Practice.response";"module.GoNoGopractice.exec-3778.GoNoGo_Practice.result";"module.GoNoGopractice.exec-3778.GoNoGo_Practice.RT";"module.GoNoGopractice.exec-3778.GoNoGo_Practice.signal";"module.GoNoGopractice.exec-3778.GoNoGo_Practice.startTime";"module.GoNoGopractice.exec-3778.GoNoGo_Practice.stimulus type";"module.GoNoGopractice.exec-8784.GoNoGo_Practice.durationTime";"module.GoNoGopractice.exec-8784.GoNoGo_Practice.endTime";"module.GoNoGopractice.exec-8784.GoNoGo_Practice.icon";"module.GoNoGopractice.exec-8784.GoNoGo_Practice.location";"module.GoNoGopractice.exec-8784.GoNoGo_Practice.outcome";"module.GoNoGopractice.exec-8784.GoNoGo_Practice.response";"module.GoNoGopractice.exec-8784.GoNoGo_Practice.result";"module.GoNoGopractice.exec-8784.GoNoGo_Practice.RT";"module.GoNoGopractice.exec-8784.GoNoGo_Practice.signal";"module.GoNoGopractice.exec-8784.GoNoGo_Practice.startTime";"module.GoNoGopractice.exec-8784.GoNoGo_Practice.stimulus type";"module.GoNoGotutorial.exec-5747.GoNoGo_Tutorial.durationTime";"module.GoNoGotutorial.exec-5747.GoNoGo_Tutorial.endTime";"module.GoNoGotutorial.exec-5747.GoNoGo_Tutorial.icon";"module.GoNoGotutorial.exec-5747.GoNoGo_Tutorial.location";"module.GoNoGotutorial.exec-5747.GoNoGo_Tutorial.outcome";"module.GoNoGotutorial.exec-5747.GoNoGo_Tutorial.response";"module.GoNoGotutorial.exec-5747.GoNoGo_Tutorial.result";"module.GoNoGotutorial.exec-5747.GoNoGo_Tutorial.RT";"module.GoNoGotutorial.exec-5747.GoNoGo_Tutorial.signal";"module.GoNoGotutorial.exec-5747.GoNoGo_Tutorial.startTime";"module.GoNoGotutorial.exec-9897.GoNoGo_Tutorial.durationTime";"module.GoNoGotutorial.exec-9897.GoNoGo_Tutorial.endTime";"module.GoNoGotutorial.exec-9897.GoNoGo_Tutorial.icon";"module.GoNoGotutorial.exec-9897.GoNoGo_Tutorial.location";"module.GoNoGotutorial.exec-9897.GoNoGo_Tutorial.outcome";"module.GoNoGotutorial.exec-9897.GoNoGo_Tutorial.response";"module.GoNoGotutorial.exec-9897.GoNoGo_Tutorial.result";"module.GoNoGotutorial.exec-9897.GoNoGo_Tutorial.RT";"module.GoNoGotutorial.exec-9897.GoNoGo_Tutorial.signal";"module.GoNoGotutorial.exec-9897.GoNoGo_Tutorial.startTime";"module.training_block1.exec-6125.GoNoGo1.durationTime";"module.training_block1.exec-6125.GoNoGo1.endTime";"module.training_block1.exec-6125.GoNoGo1.icon";"module.training_block1.exec-6125.GoNoGo1.location";"module.training_block1.exec-6125.GoNoGo1.outcome";"module.training_block1.exec-6125.GoNoGo1.response";"module.training_block1.exec-6125.GoNoGo1.result";"module.training_block1.exec-6125.GoNoGo1.RT";"module.training_block1.exec-6125.GoNoGo1.signal";"module.training_block1.exec-6125.GoNoGo1.startTime";"module.training_block1.exec-6125.GoNoGo1.stimulus type";"module.training_block2.exec-4112.GoNoGo2.durationTime";"module.training_block2.exec-4112.GoNoGo2.endTime";"module.training_block2.exec-4112.GoNoGo2.icon";"module.training_block2.exec-4112.GoNoGo2.location";"module.training_block2.exec-4112.GoNoGo2.outcome";"module.training_block2.exec-4112.GoNoGo2.response";"module.training_block2.exec-4112.GoNoGo2.result";"module.training_block2.exec-4112.GoNoGo2.RT";"module.training_block2.exec-4112.GoNoGo2.signal";"module.training_block2.exec-4112.GoNoGo2.startTime";"module.training_block2.exec-4112.GoNoGo2.stimulus type";"module.training_block3.exec-7623.GoNoGo3.durationTime";"module.training_block3.exec-7623.GoNoGo3.endTime";"module.training_block3.exec-7623.GoNoGo3.icon";"module.training_block3.exec-7623.GoNoGo3.location";"module.training_block3.exec-7623.GoNoGo3.outcome";"module.training_block3.exec-7623.GoNoGo3.response";"module.training_block3.exec-7623.GoNoGo3.result";"module.training_block3.exec-7623.GoNoGo3.RT";"module.training_block3.exec-7623.GoNoGo3.signal";"module.training_block3.exec-7623.GoNoGo3.startTime";"module.training_block3.exec-7623.GoNoGo3.stimulus type"
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"16";"10";"module.GoNoGopractice.exec-8784.GoNoGo_Practice";;;;;;;;;;;;"1951";"2014-02-15 21:04:30.109";"34";"0";"FINISHED";"LEFT";"success";"434";"0";"2014-02-15 21:04:28.158";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"17";"11";"module.GoNoGopractice.exec-8784.GoNoGo_Practice";;;;;;;;;;;;"1951";"2014-02-15 21:04:33.345";"23";"1";"FINISHED";"RIGHT";"success";"454";"0";"2014-02-15 21:04:31.393";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"18";"12";"module.GoNoGopractice.exec-8784.GoNoGo_Practice";;;;;;;;;;;;"1953";"2014-02-15 21:04:36.580";"13";"0";"FINISHED";"LEFT";"failure";"564";"1";"2014-02-15 21:04:34.627";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"19";"13";"module.GoNoGopractice.exec-8784.GoNoGo_Practice";;;;;;;;;;;;"1951";"2014-02-15 21:04:39.822";"3";"1";"FINISHED";"RIGHT";"success";"504";"0";"2014-02-15 21:04:37.871";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"20";"14";"module.GoNoGopractice.exec-8784.GoNoGo_Practice";;;;;;;;;;;;"1952";"2014-02-15 21:04:43.060";"27";"1";"FINISHED";"RIGHT";"failure";"403";"1";"2014-02-15 21:04:41.108";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"21";"15";"module.training_block1.exec-6125.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-02-15 21:04:54.908";"11";"0";"FINISHED";"LEFT";"success";"491";"0";"2014-02-15 21:04:53.657";"2";;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"22";"16";"module.training_block1.exec-6125.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-02-15 21:04:57.440";"32";"1";"FINISHED";"RIGHT";"failure";"494";"1";"2014-02-15 21:04:56.190";"3";;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"23";"17";"module.training_block1.exec-6125.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-02-15 21:04:59.972";"33";"0";"FINISHED";"LEFT";"failure";"458";"1";"2014-02-15 21:04:58.722";"3";;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"24";"18";"module.training_block1.exec-6125.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-02-15 21:05:02.503";"3";"0";"FINISHED";"LEFT";"failure";"399";"1";"2014-02-15 21:05:01.253";"1";;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"25";"19";"module.training_block1.exec-6125.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-02-15 21:05:05.035";"25";"0";"FINISHED";"LEFT";"failure";"379";"1";"2014-02-15 21:05:03.785";"3";;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"26";"20";"module.training_block1.exec-6125.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-02-15 21:05:07.564";"26";"1";"FINISHED";"RIGHT";"success";"522";"0";"2014-02-15 21:05:06.314";"3";;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"27";"21";"module.training_block1.exec-6125.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-02-15 21:05:10.094";"9";"1";"FINISHED";"RIGHT";"success";"640";"0";"2014-02-15 21:05:08.844";"2";;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"28";"22";"module.training_block1.exec-6125.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-02-15 21:05:12.640";"21";"1";"FINISHED";"RIGHT";"success";"413";"0";"2014-02-15 21:05:11.390";"3";;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"29";"23";"module.training_block1.exec-6125.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-02-15 21:05:15.170";"5";"0";"FINISHED";"LEFT";"failure";"436";"1";"2014-02-15 21:05:13.919";"1";;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"30";"24";"module.training_block1.exec-6125.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-02-15 21:05:17.705";"0";"1";"FINISHED";"RIGHT";"failure";"429";"1";"2014-02-15 21:05:16.455";"1";;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"31";"25";"module.training_block1.exec-6125.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-02-15 21:05:20.235";"12";"1";"FINISHED";"RIGHT";"success";"466";"0";"2014-02-15 21:05:18.985";"2";;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"32";"26";"module.training_block1.exec-6125.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-02-15 21:05:22.768";"6";"0";"FINISHED";"LEFT";"failure";"413";"1";"2014-02-15 21:05:21.518";"1";;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"33";"27";"module.training_block1.exec-6125.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-02-15 21:05:25.298";"28";"1";"FINISHED";"RIGHT";"success";"404";"0";"2014-02-15 21:05:24.047";"3";;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"34";"28";"module.training_block1.exec-6125.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-02-15 21:05:27.827";"20";"1";"FINISHED";"RIGHT";"success";"435";"0";"2014-02-15 21:05:26.576";"3";;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"35";"29";"module.training_block1.exec-6125.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-02-15 21:05:30.356";"17";"0";"FINISHED";"LEFT";"success";"482";"0";"2014-02-15 21:05:29.105";"2";;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"36";"30";"module.training_block1.exec-6125.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-02-15 21:05:32.882";"2";"1";"FINISHED";"RIGHT";"failure";"308";"1";"2014-02-15 21:05:31.632";"1";;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"37";"31";"module.training_block1.exec-6125.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-02-15 21:05:35.411";"1";"0";"FINISHED";"LEFT";"failure";"394";"1";"2014-02-15 21:05:34.161";"1";;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"38";"32";"module.training_block1.exec-6125.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-02-15 21:05:37.940";"22";"1";"FINISHED";"RIGHT";"failure";"553";"1";"2014-02-15 21:05:36.690";"3";;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"39";"33";"module.training_block1.exec-6125.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1249";"2014-02-15 21:05:40.466";"34";"0";"FINISHED";"LEFT";"failure";"346";"1";"2014-02-15 21:05:39.216";"3";;;;;;;;;;;;;;;;;;;;;;
